model,acc,prec,rec,f1,bal_acc,loss,hidden,layers,lr,batch_size,flag,step_size,m,time
ginjk,0.8922651933701657,0.8376151012891345,0.8922651933701657,0.8567988354277853,0.8444444444444444,0.27270558114209886,32,2,0.001,8,False,-1,-1,45.32206463813782
ginjk,0.8895027624309392,0.8316223731429112,0.8895027624309392,0.8537476483585178,0.8426065162907268,0.2668303381342914,32,2,0.0001,8,False,-1,-1,50.684330463409424
ginjk,0.861878453038674,0.8055129033029584,0.861878453038674,0.8279381879558407,0.8142021720969089,0.2915793182276889,32,3,0.001,8,False,-1,-1,65.08754110336304
ginjk,0.8784530386740331,0.8205788824968389,0.8784530386740331,0.8421907133635523,0.829908103592314,0.2694745061311933,32,2,0.001,1,False,-1,-1,289.0135324001312
ginjk,0.8591160220994475,0.8152578268876611,0.8591160220994475,0.8227212801113372,0.8063492063492064,0.3376657002044646,32,2,0.001,8,False,-1,-1,43.87576985359192
ginjk,0.8701657458563536,0.811192904701192,0.8701657458563536,0.8332432140996202,0.8211375897370544,0.7973801220319547,32,2,0.001,16,False,-1,-1,26.091071844100952
ginjk,0.8397790055248618,0.8033788265141857,0.8397790055248618,0.8134422422647455,0.7919884456904974,0.5565794903929062,32,2,0.001,32,False,-1,-1,15.550414800643921
ginjk,0.8591160220994475,0.8004399802237022,0.8591160220994475,0.8237801537712787,0.8104441895699701,0.5926609250063396,32,2,0.001,64,False,-1,-1,11.623130559921265
ginjk,0.8729281767955801,0.8199064650576717,0.8729281767955801,0.8379306265180279,0.8235588972431077,0.2677250285915907,32,2,0.0001,1,False,-1,-1,292.420312166214
ginjk,0.8895027624309392,0.8299404094984205,0.8895027624309392,0.8531634760733949,0.8426065162907268,0.353033145158989,32,2,0.0001,8,False,-1,-1,44.55814719200134
ginjk,0.8480662983425414,0.7881699088475169,0.8480662983425414,0.8144582916694727,0.8024241394446568,0.3856029523670344,32,2,0.0001,16,False,-1,-1,26.05921769142151
ginjk,0.8370165745856354,0.8058240253498158,0.8370165745856354,0.8137370234860616,0.7888138425158943,0.577607550015107,32,2,0.0001,32,False,-1,-1,15.593043088912964
ginjk,0.8342541436464088,0.7953666447317311,0.8342541436464088,0.8015492200141875,0.7836342268099629,1.015462476904221,32,2,0.0001,64,False,-1,-1,11.633216619491577
ginjk,0.8839779005524862,0.8260257598114913,0.8839779005524862,0.8480172120343461,0.8362573099415204,0.26004863199031814,64,2,0.001,1,False,-1,-1,308.6451153755188
ginjk,0.8756906077348067,0.82104401360664,0.8756906077348067,0.8403612656685551,0.8267335004177109,0.2595388866261224,64,2,0.001,8,False,-1,-1,49.68916320800781
ginjk,0.8453038674033149,0.7894419632830898,0.8453038674033149,0.8129388695679176,0.797827903091061,0.30741752371274306,64,2,0.001,16,False,-1,-1,30.909329414367676
ginjk,0.8812154696132597,0.8216189002464998,0.8812154696132597,0.8447831237236502,0.8338360024354673,0.39382965459349406,64,2,0.001,32,False,-1,-1,20.918017387390137
ginjk,0.8453038674033149,0.8169660213686457,0.8453038674033149,0.8213657444146246,0.7963326395083755,0.6599502984990072,64,2,0.001,64,False,-1,-1,15.67727279663086
